ÎÑÖ;Ïëîùàäêà;ÔÈÎ;Îïåðàöèè;Èíäåêñ;Âèä_îïåðàöèé;Ñåêòîð_ïðîèç;Íîðìàòèâ, øò;ØÊ;Êîë-âî îïåðàöèé;Âðåìÿ ïî ØÐ;Âûðàáîòêà, %;Äîëÿ ðó÷íûõ îïåðàöèé â âûðàáîòêå, %;Äàòà;
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;f5192381-6727-41ae-9534-558f93626774;Çàïîëíåíèå è âåðèôèêàöèÿ îò÷åòîâ;NO 010 002 00 00;Ðó÷íûå;Íåïð.;495;-;378;-;76,36;100,0;12.03.2026;f5192381-6727-41ae-9534-558f93626774
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;f5192381-6727-41ae-9534-558f93626774;Êîììóíèêàöèè è âçàèìîäåéñòâèå;NO 041 001 00 00;Ðó÷íûå;Íåïð.;495;-;100;8:15:00;20,20;100,0;12.03.2026;f5192381-6727-41ae-9534-558f93626774
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;f5192381-6727-41ae-9534-558f93626774;Îðãàíèçàöèÿ è ïîäãîòîâêà îáçîðíûõ,àíàëèòè÷åñêèõ è îáó÷àþùèõ ìàòåðèàëîâ;NO 032 001 00 00;Ðó÷íûå;Íåïð.;495;-;60;-;12,12;100,0;12.03.2026;f5192381-6727-41ae-9534-558f93626774
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;f5192381-6727-41ae-9534-558f93626774;Ðàáîòà â MS OUTLOOK;NO 003 004 00 00;Ðó÷íûå;Íåïð.;495;-;40;-;8,08;100,0;12.03.2026;f5192381-6727-41ae-9534-558f93626774
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;e1052306-fc22-4e0d-a111-36623b83610e;Ðàçðàáîòêà/êîððåêòèðîâêà îò÷åòîâ;IA 002 000 00 00;Ðó÷íûå;Íåïð.;495;-;495;8:15:00;100,00;100,0;12.03.2026;e1052306-fc22-4e0d-a111-36623b83610e
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;e1052306-fc22-4e0d-a111-36623b83610e;Ðàçðàáîòêà/Ñîïðîâîæäåíèå Êàäðèëü;IA 003 000 00 02;Ðó÷íûå;Íåïð.;495;-;70;-;14,14;100,0;12.03.2026;e1052306-fc22-4e0d-a111-36623b83610e
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;2d312a96-419c-4e32-b221-221e9252a006;Ðàçðàáîòêà/êîððåêòèðîâêà îò÷åòîâ;IA 002 000 00 00;Ðó÷íûå;Íåïð.;495;-;495;8:15:00;100,00;100,0;12.03.2026;2d312a96-419c-4e32-b221-221e9252a006
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;2d312a96-419c-4e32-b221-221e9252a006;Ðàçðàáîòêà/Ñîïðîâîæäåíèå Êàäðèëü;IA 003 000 00 02;Ðó÷íûå;Íåïð.;495;-;70;-;14,14;100,0;12.03.2026;2d312a96-419c-4e32-b221-221e9252a006
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;bca2812a-8c56-49e7-81ee-653884f6d096;Êîììóíèêàöèè;IA 006 000 00 00;Ðó÷íûå;Íåïð.;495;-;60;-;12,12;100,0;12.03.2026;bca2812a-8c56-49e7-81ee-653884f6d096
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;bca2812a-8c56-49e7-81ee-653884f6d096;Ðàçðàáîòêà/êîððåêòèðîâêà îò÷åòîâ;IA 002 000 00 00;Ðó÷íûå;Íåïð.;495;-;210;8:15:00;42,42;100,0;12.03.2026;bca2812a-8c56-49e7-81ee-653884f6d096
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;bca2812a-8c56-49e7-81ee-653884f6d096;Ðàçðàáîòêà/Ñîïðîâîæäåíèå RPA àëãîðèòìîâ;IA 004 000 00 00;Ðó÷íûå;Íåïð.;495;-;300;-;60,61;100,0;12.03.2026;bca2812a-8c56-49e7-81ee-653884f6d096
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;e968d033-c4ae-448e-aaca-148445e829c1;Çàïîëíåíèå è âåðèôèêàöèÿ îò÷åòîâ;NO 010 002 00 00;Ðó÷íûå;Íåïð.;495;-;548;-;110,71;100,0;12.03.2026;e968d033-c4ae-448e-aaca-148445e829c1
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;e968d033-c4ae-448e-aaca-148445e829c1;Êîììóíèêàöèè è âçàèìîäåéñòâèå;NO 041 001 00 00;Ðó÷íûå;Íåïð.;495;-;10;8:15:00;2,02;100,0;12.03.2026;e968d033-c4ae-448e-aaca-148445e829c1
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;e968d033-c4ae-448e-aaca-148445e829c1;Ðàáîòà â MS OUTLOOK;NO 003 004 00 00;Ðó÷íûå;Íåïð.;495;-;10;-;2,02;100,0;12.03.2026;e968d033-c4ae-448e-aaca-148445e829c1
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;e968d033-c4ae-448e-aaca-148445e829c1;Ðàáîòà ñ çàÿâêàìè ÑáåðÄðóã,Êóðñ,ÑÀÏ,ÑÀÏ ÓÂÕÄ è äð.ÏÎ;NO 031 001 00 00;Ðó÷íûå;Íåïð.;495;-;10;-;2,02;100,0;12.03.2026;e968d033-c4ae-448e-aaca-148445e829c1
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;e1ac6183-bd86-4c14-bec7-a6d731458688;Êîììóíèêàöèè;IA 006 000 00 00;Ðó÷íûå;Íåïð.;495;-;60;-;12,12;100,0;12.03.2026;e1ac6183-bd86-4c14-bec7-a6d731458688
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;e1ac6183-bd86-4c14-bec7-a6d731458688;Ðàçðàáîòêà/êîððåêòèðîâêà îò÷åòîâ;IA 002 000 00 00;Ðó÷íûå;Íåïð.;495;-;85;8:15:00;17,17;100,0;12.03.2026;e1ac6183-bd86-4c14-bec7-a6d731458688
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;e1ac6183-bd86-4c14-bec7-a6d731458688;Ðàçðàáîòêà/Ñîïðîâîæäåíèå RPA àëãîðèòìîâ;IA 004 000 00 00;Ðó÷íûå;Íåïð.;495;-;420;-;84,85;100,0;12.03.2026;e1ac6183-bd86-4c14-bec7-a6d731458688
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;4c79abeb-b852-4007-a6aa-65e2109da5e1;Âûïîëíåíèå ïîðó÷åíèé ÖÀÑ/ðóêîâîäñòâà ÑÖÀ.Êîíòðîëü èñïîëíåíèÿ  ïîðó÷åíèé;NO 038 001 00 00;Ðó÷íûå;Íåïð.;495;-;190;-;38,38;100,0;12.03.2026;4c79abeb-b852-4007-a6aa-65e2109da5e1
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;4c79abeb-b852-4007-a6aa-65e2109da5e1;Çàïîëíåíèå è âåðèôèêàöèÿ îò÷åòîâ;NO 010 002 00 00;Ðó÷íûå;Íåïð.;495;-;130;-;26,26;100,0;12.03.2026;4c79abeb-b852-4007-a6aa-65e2109da5e1
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;4c79abeb-b852-4007-a6aa-65e2109da5e1;Èçó÷åíèå íîðìàòèâíîé áàçû,îáó÷åíèå è êîíòðîëü çíàíèé ñîòðóäíèêîâ.;NO 003 005 00 00;Ðó÷íûå;Íåïð.;495;-;80;-;16,16;100,0;12.03.2026;4c79abeb-b852-4007-a6aa-65e2109da5e1
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;4c79abeb-b852-4007-a6aa-65e2109da5e1;Êîììóíèêàöèè è âçàèìîäåéñòâèå;NO 041 001 00 00;Ðó÷íûå;Íåïð.;495;-;120;8:15:00;24,24;100,0;12.03.2026;4c79abeb-b852-4007-a6aa-65e2109da5e1
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;4c79abeb-b852-4007-a6aa-65e2109da5e1;Ðàáîòà â MS OUTLOOK;NO 003 004 00 00;Ðó÷íûå;Íåïð.;495;-;60;-;12,12;100,0;12.03.2026;4c79abeb-b852-4007-a6aa-65e2109da5e1
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0beedab2-bce5-4fde-9704-5b57df2e0c61;Âûïîëíåíèå ïîðó÷åíèé ÖÀÑ/ðóêîâîäñòâà ÑÖÀ.Êîíòðîëü èñïîëíåíèÿ  ïîðó÷åíèé;NO 038 001 00 00;Ðó÷íûå;Íåïð.;495;-;90;-;18,18;100,0;12.03.2026;0beedab2-bce5-4fde-9704-5b57df2e0c61
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0beedab2-bce5-4fde-9704-5b57df2e0c61;Çàïîëíåíèå è âåðèôèêàöèÿ îò÷åòîâ;NO 010 002 00 00;Ðó÷íûå;Íåïð.;495;-;185;-;37,37;100,0;12.03.2026;0beedab2-bce5-4fde-9704-5b57df2e0c61
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0beedab2-bce5-4fde-9704-5b57df2e0c61;Êîììóíèêàöèè è âçàèìîäåéñòâèå;NO 041 001 00 00;Ðó÷íûå;Íåïð.;495;-;120;8:15:00;24,24;100,0;12.03.2026;0beedab2-bce5-4fde-9704-5b57df2e0c61
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0beedab2-bce5-4fde-9704-5b57df2e0c61;Ðàáîòà â MS OUTLOOK;NO 003 004 00 00;Ðó÷íûå;Íåïð.;495;-;100;-;20,20;100,0;12.03.2026;0beedab2-bce5-4fde-9704-5b57df2e0c61
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;545c9ea1-6090-42e1-ace3-00a80ee4a4f9;Àíàëèç è êîíòðîëü ïðîèçâîäñòâåííûõ ïîêàçàòåëåé ñåðâèñà èíñòðóìåíòàìè Êàäðèëü,Äàøáîðä,êîíòðîëüíûå ïàíåëè;NO 008 001 00 00;Ðó÷íûå;Íåïð.;495;-;40;-;8,08;100,0;12.03.2026;545c9ea1-6090-42e1-ace3-00a80ee4a4f9
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;545c9ea1-6090-42e1-ace3-00a80ee4a4f9;Âåäåíèå è ïîäãîòîâêà òàáåëÿ.Êîíñóëüòèðîâàíèå ñîòðóäíèêîâ ïî ðàáîòå â ÀÑ ÏÓËÜÑ;NO 006 009 00 00;Ðó÷íûå;Íåïð.;495;-;30;-;6,06;100,0;12.03.2026;545c9ea1-6090-42e1-ace3-00a80ee4a4f9
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;545c9ea1-6090-42e1-ace3-00a80ee4a4f9;Çàïîëíåíèå è âåðèôèêàöèÿ îò÷åòîâ;NO 010 002 00 00;Ðó÷íûå;Íåïð.;495;-;408;-;82,42;100,0;12.03.2026;545c9ea1-6090-42e1-ace3-00a80ee4a4f9
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;545c9ea1-6090-42e1-ace3-00a80ee4a4f9;Èçó÷åíèå íîðìàòèâíîé áàçû,îáó÷åíèå è êîíòðîëü çíàíèé ñîòðóäíèêîâ.;NO 003 005 00 00;Ðó÷íûå;Íåïð.;495;-;20;-;4,04;100,0;12.03.2026;545c9ea1-6090-42e1-ace3-00a80ee4a4f9
