;ОСЦ;Площадка;ФИО;Операции;Индекс;Вид_операций;Сектор_произ;Норматив, шт;ШК;Кол-во операций;Время по ШР;Выработка, %;Доля ручных операций в выработке, %;Дата
0;ОСЦ Воронеж;Вне подразделений;f517fd28-d413-42af-976b-e9c0b913abe7;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;378;-;76,36363636;100;2026-03-12 00:00:00
1;ОСЦ Воронеж;Вне подразделений;f517fd28-d413-42af-976b-e9c0b913abe7;Коммуникации и взаимодействие;NO 041 001 00 00;Ручные;Непр.;495;-;100;08:15:00;20,2020202;100;2026-03-12 00:00:00
2;ОСЦ Воронеж;Вне подразделений;f517fd28-d413-42af-976b-e9c0b913abe7;Организация и подготовка обзорных,аналитических и обучающих материалов;NO 032 001 00 00;Ручные;Непр.;495;-;60;-;12,12121212;100;2026-03-12 00:00:00
3;ОСЦ Воронеж;Вне подразделений;f517fd28-d413-42af-976b-e9c0b913abe7;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;40;-;8,080808081;100;2026-03-12 00:00:00
4;ОСЦ Воронеж;Вне подразделений;522a5b17-1c01-45ad-a034-2a966cdf23eb;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;495;08:15:00;100;100;2026-03-12 00:00:00
5;ОСЦ Воронеж;Вне подразделений;522a5b17-1c01-45ad-a034-2a966cdf23eb;Разработка/Сопровождение Кадриль;IA 003 000 00 02;Ручные;Непр.;495;-;70;-;14,14141414;100;2026-03-12 00:00:00
6;ОСЦ Воронеж;Вне подразделений;f4c8914d-ee5d-4944-bcb4-c046fbb15a90;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;495;08:15:00;100;100;2026-03-12 00:00:00
7;ОСЦ Воронеж;Вне подразделений;f4c8914d-ee5d-4944-bcb4-c046fbb15a90;Разработка/Сопровождение Кадриль;IA 003 000 00 02;Ручные;Непр.;495;-;70;-;14,14141414;100;2026-03-12 00:00:00
8;ОСЦ Воронеж;Вне подразделений;2b90bbd7-a263-44e9-b882-eebb8554eb5c;Коммуникации;IA 006 000 00 00;Ручные;Непр.;495;-;60;-;12,12121212;100;2026-03-12 00:00:00
9;ОСЦ Воронеж;Вне подразделений;2b90bbd7-a263-44e9-b882-eebb8554eb5c;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;210;08:15:00;42,42424242;100;2026-03-12 00:00:00
10;ОСЦ Воронеж;Вне подразделений;2b90bbd7-a263-44e9-b882-eebb8554eb5c;Разработка/Сопровождение RPA алгоритмов;IA 004 000 00 00;Ручные;Непр.;495;-;300;-;60,60606061;100;2026-03-12 00:00:00
