ОСЦ;Архив;Индекс операции;Название операции;Тип ШК;КБП;вид/ площадка операции;Единица измерения;Норматив в секундах;Тип операции
ОСЦ Воронеж;Вне подразделений;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;2;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;2;RUCH
ОСЦ Воронеж;Архив №3 Калининград;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;0;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;0;RUCH
ОСЦ Москва;Вне подразделений;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;2;RUCH
ОСЦ Москва;Архив №1 Томилино;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;0;RUCH
ОСЦ Нижний Новгород;Вне подразделений;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;2;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;0;RUCH
ОСЦ Новосибирск;Вне подразделений;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;2;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;0;RUCH
ОСЦ Самара;Вне подразделений;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;2;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;2;RUCH
ОСЦ Самара;Архив №1 Самара;BF 101 000 00 01;Документ присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;2;RUCH
ОСЦ Воронеж;Вне подразделений;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;4,8;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;4,8;RUCH
ОСЦ Воронеж;Архив №3 Калининград;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;0;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;0;RUCH
ОСЦ Москва;Вне подразделений;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;4,8;RUCH
ОСЦ Москва;Архив №1 Томилино;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;0;RUCH
ОСЦ Нижний Новгород;Вне подразделений;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;4,8;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;0;RUCH
ОСЦ Новосибирск;Вне подразделений;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;4,8;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;0;RUCH
ОСЦ Самара;Вне подразделений;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;4,8;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;4;RUCH
ОСЦ Самара;Архив №1 Самара;BF 101 000 00 05;Сшив присутствовал внутри короба при проведении контроля полноты короба;;00;Логистика;Документ;3,8;RUCH
ОСЦ Воронеж;Вне подразделений;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 001 006 00 00;Подготовка/участие в подготовке договора внесение изменения в договор контроль за выполнением условий договора претензионная работа с контрагентом;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 003 001 00 00;Разработка/актуализация ОРД СОП СЗ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 003 002 00 00;Работа в СЭОДО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
