Ф.И.О. сотрудника;Идентификатор Подразделения 1 уровня;Подразделение 1 уровня;Идентификатор Подразделения 2 уровня;Подразделение 2 уровня;Идентификатор Подразделения 3 уровня;Подразделение 3 уровня;Идентификатор Подразделения 4 уровня;Подразделение 4 уровня;Идентификатор подразделения 5 уровня;Подразделение 5 уровня;Идентификатор подразделения 6 уровня;Подразделение 6 уровня;Идентификатор Должности;Должность;Сегмент;Подсегмент;Разряд ШД;Ставка сотрудника;Уход за ребенком;Населенный пункт
89f42331-84fe-479f-84ac-ddea564313bd;10110907;Подразделения центрального подчинения;10214918;Дирекция сервисных центров;10216466;"Объединенный сервисный центр ""Нижний Новгород""";10217087;"Сервисный центр ""Архив"" (на правах отдела)";;;;;35790169;Начальник центра;Первая линия;Бэк;12-А-А;1,00;;Нижний Новгород
12b1a5db-22d5-4a04-a2b5-b3ea2a9564d4;10110907;Подразделения центрального подчинения;10214918;Дирекция сервисных центров;10216466;"Объединенный сервисный центр ""Нижний Новгород""";10217087;"Сервисный центр ""Архив"" (на правах отдела)";;;;;35790170;Заместитель начальника центра;Первая линия;Мидл;10-А-А;1,00;;Нижний Новгород
417c25da-30f6-4d23-b781-9fd5b0ac92ea;10110907;Подразделения центрального подчинения;10214918;Дирекция сервисных центров;10216466;"Объединенный сервисный центр ""Нижний Новгород""";10217087;"Сервисный центр ""Архив"" (на правах отдела)";;;;;35223681;Менеджер;Первая линия;Бэк;9-А-А;1,00;;Нижний Новгород
5984f7f2-d9fa-48c9-9549-4ad2f338e8de;10110907;Подразделения центрального подчинения;10214918;Дирекция сервисных центров;10216466;"Объединенный сервисный центр ""Нижний Новгород""";10217087;"Сервисный центр ""Архив"" (на правах отдела)";;;;;35790171;Менеджер;Первая линия;Бэк;9-А-А;1,00;;Нижний Новгород
3b2f7110-4f06-49c0-b8e4-ead165653a56;10110907;Подразделения центрального подчинения;10214918;Дирекция сервисных центров;10216466;"Объединенный сервисный центр ""Нижний Новгород""";10217087;"Сервисный центр ""Архив"" (на правах отдела)";;;;;35532786;Менеджер поддержки архивного сервиса;Первая линия;Бэк;9-А-А;1,00;;Нижний Новгород
57fd92d2-3026-40ce-a025-fcf71d342dbf;10110907;Подразделения центрального подчинения;10214918;Дирекция сервисных центров;10216466;"Объединенный сервисный центр ""Нижний Новгород""";10217087;"Сервисный центр ""Архив"" (на правах отдела)";;;;;35016930;Главный специалист;Первая линия;Бэк;8-А-А;1,00;;Нижний Новгород
c1ea6fc7-5fda-4626-8608-db27cd7fea8f;10110907;Подразделения центрального подчинения;10214918;Дирекция сервисных центров;10216466;"Объединенный сервисный центр ""Нижний Новгород""";10217087;"Сервисный центр ""Архив"" (на правах отдела)";;;;;34598317;Главный специалист;Первая линия;Бэк;7-А-А;1,00;;Нижний Новгород
c8b0f0c2-786b-4b91-a334-3acf4e10a025;10110907;Подразделения центрального подчинения;10214918;Дирекция сервисных центров;10216466;"Объединенный сервисный центр ""Нижний Новгород""";10217087;"Сервисный центр ""Архив"" (на правах отдела)";;;;;35144532;Главный специалист;Первая линия;Бэк;7-А-А;1,00;;Нижний Новгород
079bf802-aec1-444e-97fe-ea3218eecca0;10110907;Подразделения центрального подчинения;10214918;Дирекция сервисных центров;10216466;"Объединенный сервисный центр ""Нижний Новгород""";10217087;"Сервисный центр ""Архив"" (на правах отдела)";;;;;35223682;Главный специалист;Первая линия;Бэк;7-А-А;1,00;;Нижний Новгород
8d63dbe2-90fe-49b9-b502-514764bdde38;10110907;Подразделения центрального подчинения;10214918;Дирекция сервисных центров;10216466;"Объединенный сервисный центр ""Нижний Новгород""";10217087;"Сервисный центр ""Архив"" (на правах отдела)";;;;;35223683;Главный специалист;Первая линия;Бэк;7-А-А;1,00;;Нижний Новгород
