ОСЦ;Площадка;ФИО;Операции;Индекс;Вид_операций;Сектор_произ;Норматив, шт;ШК;Кол-во операций;Время по ШР;Выработка, %;Доля ручных операций в выработке, %;Дата;
ОСЦ Воронеж;Вне подразделений;f5192381-6727-41ae-9534-558f93626774;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;378;-;76,36;100,0;12.03.2026;f5192381-6727-41ae-9534-558f93626774
ОСЦ Воронеж;Вне подразделений;f5192381-6727-41ae-9534-558f93626774;Коммуникации и взаимодействие;NO 041 001 00 00;Ручные;Непр.;495;-;100;8:15:00;20,20;100,0;12.03.2026;f5192381-6727-41ae-9534-558f93626774
ОСЦ Воронеж;Вне подразделений;f5192381-6727-41ae-9534-558f93626774;Организация и подготовка обзорных,аналитических и обучающих материалов;NO 032 001 00 00;Ручные;Непр.;495;-;60;-;12,12;100,0;12.03.2026;f5192381-6727-41ae-9534-558f93626774
ОСЦ Воронеж;Вне подразделений;f5192381-6727-41ae-9534-558f93626774;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;40;-;8,08;100,0;12.03.2026;f5192381-6727-41ae-9534-558f93626774
ОСЦ Воронеж;Вне подразделений;e1052306-fc22-4e0d-a111-36623b83610e;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;495;8:15:00;100,00;100,0;12.03.2026;e1052306-fc22-4e0d-a111-36623b83610e
ОСЦ Воронеж;Вне подразделений;e1052306-fc22-4e0d-a111-36623b83610e;Разработка/Сопровождение Кадриль;IA 003 000 00 02;Ручные;Непр.;495;-;70;-;14,14;100,0;12.03.2026;e1052306-fc22-4e0d-a111-36623b83610e
ОСЦ Воронеж;Вне подразделений;2d312a96-419c-4e32-b221-221e9252a006;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;495;8:15:00;100,00;100,0;12.03.2026;2d312a96-419c-4e32-b221-221e9252a006
ОСЦ Воронеж;Вне подразделений;2d312a96-419c-4e32-b221-221e9252a006;Разработка/Сопровождение Кадриль;IA 003 000 00 02;Ручные;Непр.;495;-;70;-;14,14;100,0;12.03.2026;2d312a96-419c-4e32-b221-221e9252a006
ОСЦ Воронеж;Вне подразделений;bca2812a-8c56-49e7-81ee-653884f6d096;Коммуникации;IA 006 000 00 00;Ручные;Непр.;495;-;60;-;12,12;100,0;12.03.2026;bca2812a-8c56-49e7-81ee-653884f6d096
ОСЦ Воронеж;Вне подразделений;bca2812a-8c56-49e7-81ee-653884f6d096;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;210;8:15:00;42,42;100,0;12.03.2026;bca2812a-8c56-49e7-81ee-653884f6d096
ОСЦ Воронеж;Вне подразделений;bca2812a-8c56-49e7-81ee-653884f6d096;Разработка/Сопровождение RPA алгоритмов;IA 004 000 00 00;Ручные;Непр.;495;-;300;-;60,61;100,0;12.03.2026;bca2812a-8c56-49e7-81ee-653884f6d096
ОСЦ Воронеж;Вне подразделений;e968d033-c4ae-448e-aaca-148445e829c1;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;548;-;110,71;100,0;12.03.2026;e968d033-c4ae-448e-aaca-148445e829c1
ОСЦ Воронеж;Вне подразделений;e968d033-c4ae-448e-aaca-148445e829c1;Коммуникации и взаимодействие;NO 041 001 00 00;Ручные;Непр.;495;-;10;8:15:00;2,02;100,0;12.03.2026;e968d033-c4ae-448e-aaca-148445e829c1
ОСЦ Воронеж;Вне подразделений;e968d033-c4ae-448e-aaca-148445e829c1;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;10;-;2,02;100,0;12.03.2026;e968d033-c4ae-448e-aaca-148445e829c1
ОСЦ Воронеж;Вне подразделений;e968d033-c4ae-448e-aaca-148445e829c1;Работа с заявками СберДруг,Курс,САП,САП УВХД и др.ПО;NO 031 001 00 00;Ручные;Непр.;495;-;10;-;2,02;100,0;12.03.2026;e968d033-c4ae-448e-aaca-148445e829c1
ОСЦ Воронеж;Вне подразделений;e1ac6183-bd86-4c14-bec7-a6d731458688;Коммуникации;IA 006 000 00 00;Ручные;Непр.;495;-;60;-;12,12;100,0;12.03.2026;e1ac6183-bd86-4c14-bec7-a6d731458688
